committee_id,coverage_end_date,side,label,amount,report_label,cycle
C00879510,2026-06-30,in,Named individual donors,466598.80,July Quarterly 2026,2026
C00879510,2026-06-30,in,Unnamed gifts of $200 and under,47.00,July Quarterly 2026,2026
C00879510,2026-06-30,in,Other political committees,0.00,July Quarterly 2026,2026
C00879510,2026-06-30,in,Party committees,0.00,July Quarterly 2026,2026
C00879510,2026-06-30,in,Transfers from affiliated committees,0.00,July Quarterly 2026,2026
C00879510,2026-06-30,in,Refunds issued,0.00,July Quarterly 2026,2026
C00879510,2026-06-30,out,Operating costs,518491.57,July Quarterly 2026,2026
C00879510,2026-06-30,out,Supporting and attacking candidates,0.00,July Quarterly 2026,2026
C00879510,2026-06-30,out,Coordinated with a party,0.00,July Quarterly 2026,2026
C00879510,2026-06-30,out,Transfers out,0.00,July Quarterly 2026,2026
C00879510,2026-06-30,out,Everything else,0.00,July Quarterly 2026,2026
C00879510,2026-03-31,in,Named individual donors,1641447.76,April Quarterly 2026,2026
C00879510,2026-03-31,in,Unnamed gifts of $200 and under,68.50,April Quarterly 2026,2026
C00879510,2026-03-31,in,Other political committees,0.00,April Quarterly 2026,2026
C00879510,2026-03-31,in,Party committees,0.00,April Quarterly 2026,2026
C00879510,2026-03-31,in,Transfers from affiliated committees,0.00,April Quarterly 2026,2026
C00879510,2026-03-31,in,Refunds issued,0.00,April Quarterly 2026,2026
C00879510,2026-03-31,out,Operating costs,1590606.83,April Quarterly 2026,2026
C00879510,2026-03-31,out,Supporting and attacking candidates,0.00,April Quarterly 2026,2026
C00879510,2026-03-31,out,Coordinated with a party,0.00,April Quarterly 2026,2026
C00879510,2026-03-31,out,Transfers out,0.00,April Quarterly 2026,2026
C00879510,2026-03-31,out,Everything else,0.00,April Quarterly 2026,2026
C00879510,2025-12-31,in,Named individual donors,2879706.57,Year-End 2025,2026
C00879510,2025-12-31,in,Unnamed gifts of $200 and under,68.50,Year-End 2025,2026
C00879510,2025-12-31,in,Other political committees,0.00,Year-End 2025,2026
C00879510,2025-12-31,in,Party committees,0.00,Year-End 2025,2026
C00879510,2025-12-31,in,Transfers from affiliated committees,0.00,Year-End 2025,2026
C00879510,2025-12-31,in,Refunds issued,0.00,Year-End 2025,2026
C00879510,2025-12-31,out,Operating costs,2770645.03,Year-End 2025,2026
C00879510,2025-12-31,out,Supporting and attacking candidates,0.00,Year-End 2025,2026
C00879510,2025-12-31,out,Coordinated with a party,0.00,Year-End 2025,2026
C00879510,2025-12-31,out,Transfers out,0.00,Year-End 2025,2026
C00879510,2025-12-31,out,Everything else,0.00,Year-End 2025,2026
C00879510,2025-06-30,in,Named individual donors,45323450.24,Mid-Year Report 2025,2026
C00879510,2025-06-30,in,Unnamed gifts of $200 and under,6054.50,Mid-Year Report 2025,2026
C00879510,2025-06-30,in,Other political committees,0.00,Mid-Year Report 2025,2026
C00879510,2025-06-30,in,Party committees,0.00,Mid-Year Report 2025,2026
