candidate_id,display_name
H0AL01055,Jerry L. Carl
H0AL07086,Terri A. Sewell
H0AR01083,Rick Crawford
H0AR03055,Steve Womack
H0AZ01259,Paul A. Gosar
H0CA01205,Paul Saulsbury
H0CA03078,Ami Bera
H0CA06170,Christine Bish
H0CA08135,Jay Obernolte
H0CA10073,Mark DeSaulnier
H0CA10149,John Garamendi
H0CA15213,Aisha Wahab
H0CA17193,Ritesh Tandon
H0CA32101,Judy Chu
H0CA34115,Frances Yasmeen Motiwalla
H0CA35146,Mike Cargile
H0CA48024,Darrell Issa
H0CA48172,Brian Burley
H0CA48198,Michelle Steel
H0CA52091,Jerlilia Ryans
H0CO03165,Lauren Boebert
H0CT03072,Rosa L. DeLauro
H0DC00058,Eleanor Holmes Norton
H0FL01146,Greg Merk
H0FL03175,Kat Cammack
H0FL08208,Daniel Webster
H0FL13158,Anna Paulina Luna
H0FL15104,Scott Franklin
H0FL17068,Frederica S. Wilson
H0FL17092,Roderick Vereen
H0FL17118,Rudolph Moise
H0FL22100,Darlene Cerezo Swaffar
H0FL26036,Carlos A. Gimenez
H0GA01029,Joyce Griggs
H0GA05301,Nikema Williams
H0GA06192,Marjorie Taylor Greene
H0GA07273,Richard McCormick
H0GA08099,Austin Scott
H0GA09246,Andrew S. Clyde
H0GA14030,Clay Fuller
H0GA14048,John Cowan
H0IA01174,Ashley Hinson
H0IA04145,Randy Feenstra
H0IL05096,Mike Quigley
H0IL15129,Mary E. Miller
H0IN01150,Frank J. Mrvan
H0IN03198,Marlin A. Stutzman
H0IN05326,Victoria Spartz
H0KS01123,Tracey Mann
H0KY05015,Hal Rogers
H0KY06104,Andy Barr
H0LA01087,Steve Scalise
H0MA04192,Jake Auchincloss
H0MA06098,Jamie Zahlaway Belsito
H0MA10082,Bill Keating
H0MD06231,Neil Parrott
H0MI02094,Bill Huizenga
H0MI03316,Hillary J. Scholten
H0MI08141,Paul Junge
H0MI10287,Lisa C. McClain
H0MI13463,Al Lemmo
H0MN04049,Betty McCollum
H0MN05251,Dalia Al-Aqidi
H0MN07091,Michelle Fischbach
H0MO06073,Sam Graves
H0MT00116,Matt Rains
H0NC02125,Deborah K. Ross
H0NC03172,Greg Murphy
H0NJ06214,John Hsu
H0NJ07261,"Thomas H. Kean, Jr."
H0NM03102,Teresa Leger Fernandez
H0NY02234,Andrew R. Garbarino
H0NY02267,Mike LiPetri
H0NY11078,Nicole Malliotakis
H0NY15160,Ritchie Torres
H0NY15194,Michael Blake
H0NY17174,Mondaire Jones
H0OK05205,Stephanie I. Bice
H0OR02127,Cliff Bentz
H0PA03271,Mike Kelly
H0SC01394,Nancy Mace
H0TN01118,Diana Harshbarger
H0TN03254,Chuck Fleischmann
H0TN04195,Scott DesJarlais
H0TN09061,Charlotte Bergmann
H0TX04219,Pat Fallon
H0TX07170,Wesley Hunt
H0TX08145,Laura Jones
H0TX09077,Steve Stockman
H0TX11230,August Pfluger
H0TX13228,Ronny Jackson
H0TX14184,Robert Thomas
H0TX15124,Monica De La Cruz
H0TX22302,Troy E. Nehls
H0TX24209,Beth Van Duyne
H0TX30073,Barbara Mallory Caraway
H0TX31030,Abhiram Garapati
H0TX35015,Tony Gonzales
H0TX35064,Jenny Garcia Sharon
H0UT01205,Blake D. Moore
H0UT04076,Burgess Owens
H0VA05160,Bob Good
H0VA07133,John J. McGuire III
H0VA09055,H. Morgan Griffith
H0WA02080,Rick Larsen
H0WA08046,Suzan K. DelBene
H0WA10034,Marilyn Strickland
H0WI03159,Jessi Ebben
H0WI03175,Derrick Van Orden
H0WI05113,Scott Fitzgerald
H0WI07101,Thomas P. Tiffany
H2AK01083,Nick Begich
H2AK01158,Mary Sattler Peltola
H2AL03032,Mike Rogers
H2AL05102,Dale W. Strong
H2AZ01354,Elijah Crane
H2AZ02360,Juan Ciscomani
H2AZ06155,Travis Grantham
H2CA00096,Mike Barkley
H2CA00120,Julia Brownley
H2CA00146,Leah Toomim
H2CA00153,Rudy Recile
H2CA01250,Tim Geist
H2CA01268,Rose Penelope Yee
H2CA02142,Doug LaMalfa
H2CA03157,Kevin Kiley
H2CA06259,Jared Huffman
H2CA13115,Adam Gray
H2CA14162,Kevin Mullin
H2CA15094,Eric Swalwell
H2CA18171,Luis Arreguin
H2CA20094,David G. Valadao
H2CA21233,Rudy Salas
H2CA31125,Pete Aguilar
H2CA33246,Ernest Richter
H2CA36439,Raul Ruiz
H2CA37023,Ken Calvert
H2CA37304,Sydney Kamlager-Dove
H2CA39078,Linda T. Sánchez
H2CA39086,Hector De La Torre
H2CA39151,Eric Ching
H2CA42205,Will Rollins
H2CA43245,Mark Takano
H2CA47188,Robert Garcia
H2CA50026,Juan Vargas
H2CA50190,Timothy Bilash
H2CA52089,Scott H. Peters
H2CO08020,Yadira Caraveo
H2CT02112,Joe Courtney
H2CT02161,Mike France
H2CT03102,Amy Chai
H2CT05230,Michele Botelho
H2DC01029,Kelly Mikel Williams
H2FL03197,Manuel Asensio
H2FL04211,Aaron Bean
H2FL07156,Cory Mills
H2FL10259,Maxwell Frost
H2FL11117,Anthony Sabatini
H2FL13139,Jan Schneider
H2FL14053,Lois Frankel
H2FL14186,Byron Donalds
H2FL15241,Laurel M. Lee
H2FL20043,Joe Kaufman
H2FL20159,Dale Holness
H2FL21108,Dan Franzese
H2FL21132,Deborah Adeimy
H2FL22171,Jared Moskowitz
H2FL25018,Mario Diaz-Balart
H2GA02031,"Sanford D. Bishop, Jr."
H2GA03120,Joe Lester
H2GA03179,Jared Craig
H2GA12121,Rick Allen
H2GA13012,David Scott
H2GA14119,Eric Cunningham
H2GU01031,James C. Moylan
H2HI02128,Ed Case
H2HI02581,Jill N. Tokuda
H2IA01055,Rod Blum
H2IA02111,Christina Bohannan
H2IA03119,Zachary Nunn
H2IA04141,Ryan Melton
H2ID01192,Kaylee Peterson
H2IL01349,Jonathan L. Jackson
H2IL02172,Robin L. Kelly
H2IL03162,Delia C. Ramirez
H2IL06090,Niki Conforti
H2IL08146,Junaid Ahmed
H2IL08203,Chad Koppie
H2IL10068,Brad Schneider
H2IL13153,Nikki Budzinski
H2IL14086,Michael Pierce
H2IL17147,Eric Sorensen
H2IN01172,Jennifer-Ruth Green
H2IN02295,Rudy Yakym III
H2KY02125,William Compton
H2KY03206,Morgan McGarvey
H2KY04121,Thomas Massie
H2LA02149,Troy A. Carter
H2LA03105,Tia LeBrun
H2LA05126,Julia Letlow
H2MA09072,Stephen F. Lynch
H2MD04232,Glenn Ivey
H2MD05155,Steny H. Hoyer
H2MD06138,Dave Wallace
H2MD08175,George Gluck
H2MD08183,Mariela Roca
H2MI07123,Tom Barrett
H2MI10150,John James
H2MI10176,Carl Marlinga
H2MI11232,Matthew DenOtter
H2MI13204,Shri Thanedar
H2MI13246,Adam Hollier
H2MI13311,Steven Elliott
H2MN01223,Brad Finstad
H2MO02102,Ann Wagner
H2MO03167,Bethany E Mann
H2MO04199,Rick Brattin
H2MO04207,Mark Alford
H2MO07143,Eric Burlison
H2MS02203,Ron Eller
H2MS04258,Mike Ezell
H2MT02084,Al Olszewski
H2NC02253,Sandy Roberson
H2NC02287,Donald G. Davis
H2NC06098,Nida Allam
H2NC06114,Valerie P. Foushee
H2NC07096,David Rouzer
H2NC08185,Richard Hudson
H2NC13243,Pat Harrigan
H2NC14050,Chuck Edwards
H2NE01118,Mike Flood
H2NE02132,Tony Vargas
H2NH02260,Lily Tang Williams
H2NJ01187,Damon Galdo
H2NJ06210,Gregg Mele
H2NJ08232,Robert Menendez
H2NJ08265,Brian Varela
H2NJ13075,Bob Menendez
