scope,direction,date,amount,running_total
US,support,2025-03-25,20488.89,20488.89
US,support,2025-03-26,66644.64,87133.53
US,support,2026-08-19,27300.00,114433.53
US,support,2026-08-20,131562.50,245996.03
US,support,2026-08-21,22290.24,268286.27
US,support,2026-08-27,174066.15,442352.42
US,support,2026-08-31,10526.10,452878.52
US,support,2026-09-03,308753.20,761631.72
US,support,2026-09-08,640425.78,1402057.50
US,support,2026-09-09,1126383.99,2528441.49
US,support,2026-09-10,709479.64,3237921.13
US,support,2026-09-11,60769.00,3298690.13
US,support,2026-09-14,687768.03,3986458.16
US,support,2026-09-15,83449.20,4069907.36
US,support,2026-09-16,122810.50,4192717.86
US,support,2026-09-17,26919.50,4219637.36
US,support,2026-09-18,136715.65,4356353.01
US,support,2026-09-21,817865.26,5174218.27
US,support,2026-09-23,53742.50,5227960.77
US,support,2026-09-24,488424.69,5716385.46
US,support,2026-09-25,88425.41,5804810.87
US,oppose,2026-08-19,27300.00,27300.00
US,oppose,2026-08-20,135625.00,162925.00
US,oppose,2026-08-21,22290.21,185215.21
US,oppose,2026-08-27,53966.14,239181.35
US,oppose,2026-08-31,195549.10,434730.45
US,oppose,2026-09-03,491652.18,926382.63
US,oppose,2026-09-04,2095026.58,3021409.21
US,oppose,2026-09-08,713905.38,3735314.59
US,oppose,2026-09-09,830104.75,4565419.34
US,oppose,2026-09-10,581977.29,5147396.63
US,oppose,2026-09-11,441309.48,5588706.11
US,oppose,2026-09-14,1723684.07,7312390.18
US,oppose,2026-09-15,412273.36,7724663.54
US,oppose,2026-09-16,121210.50,7845874.04
US,oppose,2026-09-17,2737965.39,10583839.43
US,oppose,2026-09-18,570196.92,11154036.35
US,oppose,2026-09-21,611126.48,11765162.83
US,oppose,2026-09-23,53353.75,11818516.58
US,oppose,2026-09-24,2245531.24,14064047.82
US,oppose,2026-09-25,156648.05,14220695.87
AK,support,2026-08-27,17235.00,17235.00
AK,support,2026-09-03,40769.00,58004.00
AK,support,2026-09-09,22251.90,80255.90
AK,support,2026-09-11,40769.00,121024.90
AK,support,2026-09-17,15978.00,137002.90
AK,support,2026-09-18,1632.77,138635.67
AK,support,2026-09-21,40769.00,179404.67
AK,support,2026-09-25,6570.20,185974.87
AK,oppose,2026-09-03,101769.00,101769.00
AK,oppose,2026-09-04,44449.34,146218.34
AK,oppose,2026-09-11,40769.00,186987.34
AK,oppose,2026-09-15,61000.00,247987.34
AK,oppose,2026-09-17,40424.27,288411.61
AK,oppose,2026-09-21,40769.00,329180.61
AK,oppose,2026-09-25,6570.20,335750.81
AZ,support,2026-09-03,24440.40,24440.40
AZ,support,2026-09-10,79917.75,104358.15
AZ,support,2026-09-14,98843.12,203201.27
AZ,support,2026-09-21,101160.32,304361.59
AZ,support,2026-09-24,101160.32,405521.91
CA,support,2026-09-03,12220.20,12220.20
CA,support,2026-09-10,20241.10,32461.30
CA,support,2026-09-14,30917.23,63378.53
CA,support,2026-09-21,30917.23,94295.76
CA,support,2026-09-24,30917.23,125212.99
CO,support,2026-09-03,12220.20,12220.20
CO,support,2026-09-10,21320.20,33540.40
CO,support,2026-09-14,30241.88,63782.28
CO,support,2026-09-21,30241.88,94024.16
CO,support,2026-09-24,30241.88,124266.04
FL,support,2025-03-25,20488.89,20488.89
FL,support,2025-03-26,66644.64,87133.53
FL,support,2026-08-27,500.00,87633.53
FL,support,2026-08-31,4336.20,91969.73
FL,support,2026-09-09,3733.05,95702.78
FL,support,2026-09-10,19364.95,115067.73
FL,support,2026-09-15,4336.20,119403.93
FL,oppose,2026-08-31,4336.20,4336.20
FL,oppose,2026-09-09,3733.04,8069.24
FL,oppose,2026-09-10,19364.95,27434.19
FL,oppose,2026-09-15,4336.20,31770.39
FL,oppose,2026-09-24,50429.25,82199.64
IA,support,2026-08-19,27300.00,27300.00
IA,support,2026-09-09,114529.65,141829.65
IA,support,2026-09-25,6531.53,148361.18
IA,oppose,2026-08-19,27300.00,27300.00
IA,oppose,2026-09-03,61000.00,88300.00
IA,oppose,2026-09-04,159560.41,247860.41
IA,oppose,2026-09-09,59574.00,307434.41
IA,oppose,2026-09-11,380540.48,687974.89
IA,oppose,2026-09-15,61000.00,748974.89
IA,oppose,2026-09-17,35142.00,784116.89
IA,oppose,2026-09-18,176441.94,960558.83
IA,oppose,2026-09-24,2457.34,963016.17
IA,oppose,2026-09-25,6531.52,969547.69
ME,support,2026-08-27,34313.65,34313.65
ME,support,2026-09-08,43991.96,78305.61
ME,support,2026-09-09,48421.27,126726.88
ME,support,2026-09-10,121598.00,248324.88
ME,support,2026-09-14,24288.00,272612.88
ME,support,2026-09-15,51424.00,324036.88
ME,support,2026-09-17,10941.50,334978.38
ME,support,2026-09-21,75711.50,410689.88
ME,support,2026-09-24,1322.44,412012.32
ME,support,2026-09-25,5632.55,417644.87
ME,oppose,2026-08-27,33063.64,33063.64
ME,oppose,2026-08-31,102847.00,135910.64
ME,oppose,2026-09-08,43991.95,179902.59
ME,oppose,2026-09-09,17371.27,197273.86
ME,oppose,2026-09-10,173984.30,371258.16
ME,oppose,2026-09-14,24288.00,395546.16
ME,oppose,2026-09-15,51424.00,446970.16
ME,oppose,2026-09-17,10941.50,457911.66
ME,oppose,2026-09-18,137361.14,595272.80
ME,oppose,2026-09-21,75711.50,670984.30
ME,oppose,2026-09-24,11008.55,681992.85
ME,oppose,2026-09-25,5632.55,687625.40
MI,support,2026-08-20,4062.50,4062.50
MI,support,2026-08-27,5292.50,9355.00
MI,support,2026-09-03,206883.20,216238.20
MI,support,2026-09-08,304261.17,520499.37
MI,support,2026-09-09,264526.75,785026.12
MI,support,2026-09-11,20000.00,805026.12
MI,support,2026-09-14,197742.57,1002768.69
MI,support,2026-09-16,1600.00,1004368.69
MI,support,2026-09-21,244113.24,1248481.93
MI,support,2026-09-25,13007.05,1261488.98
MI,oppose,2026-08-20,8125.00,8125.00
MI,oppose,2026-08-27,8125.00,16250.00
