race_id,candidate,party,direction,amount,date_paid,paid_to,what_for,image_number,cycle,filing_url
2025-H-FL-01,Jimmy Patronis,REP,support,10244.45,2025-03-25,IMGE LLC,TEXTING SERVICES,202507319779663017,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202507319779663017
2025-H-FL-06,Randy Fine,REP,support,66644.64,2025-03-26,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,202507319779663017,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202507319779663017
2025-H-FL-06,Randy Fine,REP,support,10244.44,2025-03-25,IMGE LLC,TEXTING SERVICES,202507319779663018,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202507319779663018
2026-H-AZ-01,Jay Feely,REP,support,52012.62,2026-09-24,CALIBER CONTACT,PRINTING/POSTAGE,202609249908417835,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609249908417835
2026-H-AZ-01,Jay Feely,REP,support,52012.62,2026-09-21,CALIBER CONTACT,PRINTING/POSTAGE,202609219908383837,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609219908383837
2026-H-AZ-01,Jay Feely,REP,support,49695.42,2026-09-14,CALIBER CONTACT,PRINTING/POSTAGE,202609149904205608,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609149904205608
2026-H-AZ-01,Jay Feely,REP,support,39795.25,2026-09-10,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,202609109904190235,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190235
2026-H-AZ-01,Jay Feely,REP,support,12220.20,2026-09-03,CALIBER CONTACT,PRINTING,202609049904103641,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609049904103641
2026-H-AZ-06,Juan Ciscomani,REP,support,49147.70,2026-09-24,CALIBER CONTACT,PRINTING/POSTAGE,202609249908417835,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609249908417835
2026-H-AZ-06,Juan Ciscomani,REP,support,49147.70,2026-09-21,CALIBER CONTACT,PRINTING/POSTAGE,202609219908383837,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609219908383837
2026-H-AZ-06,Juan Ciscomani,REP,support,49147.70,2026-09-14,CALIBER CONTACT,PRINTING/POSTAGE,202609149904205607,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609149904205607
2026-H-AZ-06,Juan Ciscomani,REP,support,40122.50,2026-09-10,CONNECTION STRATEGY LLC,MESSAGE PHONE CALLS,202609109904190235,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190235
2026-H-AZ-06,Juan Ciscomani,REP,support,12220.20,2026-09-03,CALIBER CONTACT,PRINTING,202609049904103641,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609049904103641
2026-H-CA-22,David G. Valadao,REP,support,30917.23,2026-09-24,CALIBER CONTACT,PRINTING/POSTAGE,202609249908417834,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609249908417834
2026-H-CA-22,David G. Valadao,REP,support,30917.23,2026-09-21,CALIBER CONTACT,PRINTING/POSTAGE,202609219908383838,2026,https://docquery.fec.gov/cgi-bin/fecimg/?202609219908383838
