race_id,race_name,state,state_abbr,seat,support_candidate,support_party,support_amount,oppose_candidate,oppose_party,oppose_amount,cycle,total_amount,payment_count,latest_payment_date,latest_payment_direction,latest_payment_amount,latest_payment_candidate,latest_payment_party,special_election,state_name,district
2026-S-TX,TX Senate (2026),TX,TX,senate,Ken Paxton,REP,540494,James Talarico,DEM,5796373,2026,6336867,25,2026-09-25,oppose,28206.85,James Talarico,DEM,,Texas,
2026-S-OH,OH Senate (2026),OH,OH,senate,Jon Husted,REP,1321222,Sherrod Brown,DEM,2440174,2026,3761396,43,2026-09-25,oppose,12442.50,Sherrod Brown,DEM,,Ohio,
2026-S-MI,MI Senate (2026),MI,MI,senate,Mike Rogers,REP,1199831,Abdul El-Sayed,DEM,2207411,2026,3407242,42,2026-09-25,oppose,13007.05,Abdul El-Sayed,DEM,,Michigan,
2026-S-IA,IA Senate (2026),IA,IA,senate,Ashley Hinson,REP,100969,Josh Turek,DEM,941344,2026,1042313,18,2026-09-25,support,6531.53,Ashley Hinson,REP,,Iowa,
2026-S-ME,ME Senate (2026),ME,ME,senate,Susan M. Collins,REP,349406,Troy Jackson,DEM,586336,2026,935742,28,2026-09-25,oppose,5632.55,Troy Jackson,DEM,,Maine,
2026-S-NH,NH Senate (2026),NH,NH,senate,John Sununu,REP,217294,Chris Pappas,DEM,557389,2026,774683,28,2026-09-25,support,16034.73,John Sununu,REP,,New Hampshire,
2026-S-AK,AK Senate (2026),AK,AK,senate,Dan Sullivan,REP,185975,Mary Peltola,DEM,335751,2026,521726,23,2026-09-25,oppose,6570.20,Mary Peltola,DEM,,Alaska,
2026-H-VA-02,VA-02 (2026),VA,VA,district 2,Jennifer A. Kiggans,REP,69438,Elaine G. Luria,DEM,164860,2026,234298,13,2026-09-25,oppose,40928.00,Elaine G. Luria,DEM,,Virginia,2
2026-H-AZ-01,AZ-01 (2026),AZ,AZ,district 1,Jay Feely,REP,205736,,,0,2026,205736,5,2026-09-24,support,52012.62,Jay Feely,REP,,Arizona,1
2026-H-AZ-06,AZ-06 (2026),AZ,AZ,district 6,Juan Ciscomani,REP,199786,,,0,2026,199786,5,2026-09-24,support,49147.70,Juan Ciscomani,REP,,Arizona,6
2026-H-WA-03,WA-03 (2026),WA,WA,district 3,John Braun,REP,177984,,,0,2026,177984,5,2026-09-24,support,44419.33,John Braun,REP,,Washington,3
2026-H-ME-02,ME-02 (2026),ME,ME,district 2,Paul LePage,REP,68238,Matt Dunlap,DEM,101289,2026,169527,12,2026-09-24,support,1322.44,Paul LePage,REP,,Maine,2
2026-H-TX-35,TX-35 (2026),TX,TX,district 35,Carlos De La Cruz,REP,36740,Johnny Garcia,DEM,122034,2026,158774,8,2026-09-24,oppose,31470.00,Johnny Garcia,DEM,,Texas,35
2026-H-PA-08,PA-08 (2026),PA,PA,district 8,"Robert P. Bresnahan, Jr.",REP,83852,Paige Cognetti,DEM,68008,2026,151860,8,2026-09-24,oppose,31663.71,Paige Cognetti,DEM,,Pennsylvania,8
2026-H-PA-10,PA-10 (2026),PA,PA,district 10,Scott Perry,REP,79565,Janelle Stelson,DEM,64259,2026,143824,8,2026-09-24,oppose,29631.50,Janelle Stelson,DEM,,Pennsylvania,10
2026-H-PA-07,PA-07 (2026),PA,PA,district 7,Ryan Mackenzie,REP,77999,Bob Brooks,DEM,62153,2026,140152,8,2026-09-24,oppose,29085.64,Bob Brooks,DEM,,Pennsylvania,7
2026-H-NH-01,NH-01 (2026),NH,NH,district 1,Anthony DiLorenzo,REP,50676,Stefany Shaheen,DEM,84548,2026,135224,6,2026-09-21,oppose,21137.00,Stefany Shaheen,DEM,,New Hampshire,1
2026-H-CA-22,CA-22 (2026),CA,CA,district 22,David G. Valadao,REP,125213,,,0,2026,125213,5,2026-09-24,support,30917.23,David G. Valadao,REP,,California,22
2026-H-CO-08,CO-08 (2026),CO,CO,district 8,Gabe Evans,REP,124266,,,0,2026,124266,5,2026-09-24,support,30241.88,Gabe Evans,REP,,Colorado,8
2026-H-MI-04,MI-04 (2026),MI,MI,district 4,Bill Huizenga,REP,14198,Sean McCann,DEM,104912,2026,119110,10,2026-09-25,oppose,26161.05,Sean McCann,DEM,,Michigan,4
2026-H-TX-28,TX-28 (2026),TX,TX,district 28,Tano Tijerina,REP,39968,Henry Cuellar,DEM,76680,2026,116648,8,2026-09-24,oppose,37665.00,Henry Cuellar,DEM,,Texas,28
2026-H-TX-23,TX-23 (2026),TX,TX,district 23,Brandon Herrera,REP,43581,Katy Padilla Stout,DEM,70927,2026,114508,7,2026-09-24,oppose,41968.00,Katy Padilla Stout,DEM,,Texas,23
2026-H-FL-25,FL-25 (2026),FL,FL,district 25,Scott Singer,REP,32270,Jared Moskowitz,DEM,82200,2026,114470,15,2026-09-24,oppose,29365.50,Jared Moskowitz,DEM,,Florida,25
2026-H-WI-03,WI-03 (2026),WI,WI,district 3,Derrick Van Orden,REP,49364,Rebecca Cooke,DEM,52737,2026,102101,8,2026-09-24,oppose,39462.60,Rebecca Cooke,DEM,,Wisconsin,3
2026-H-TX-15,TX-15 (2026),TX,TX,district 15,Monica De La Cruz,REP,29638,Bobby Pulido,DEM,56665,2026,86303,7,2026-09-24,oppose,27938.00,Bobby Pulido,DEM,,Texas,15
