state,state_name,senate_support,senate_oppose,senate_total,senate_race_count,house_support,house_oppose,house_total,house_race_count,support_amount,oppose_amount,total_amount,support_pct,oppose_pct,support_party,oppose_party,first_payment_date,chart_start_date
AK,Alaska,185975,335751,521726,1,0,0,0,0,185975,335751,521726,36,64,REP,DEM,2026-08-27,2026-08-27
AZ,Arizona,0,0,0,0,405522,0,405522,2,405522,0,405522,100,0,REP,,2026-09-03,2026-09-03
CA,California,0,0,0,0,125213,0,125213,1,125213,0,125213,100,0,REP,,2026-09-03,2026-09-03
CO,Colorado,0,0,0,0,124266,0,124266,1,124266,0,124266,100,0,REP,,2026-09-03,2026-09-03
FL,Florida,0,0,0,0,119404,82200,201604,3,119404,82200,201604,59,41,REP,DEM,2025-03-25,2026-08-27
IA,Iowa,100969,941344,1042313,1,47392,28203,75595,3,148361,969547,1117908,13,87,REP,DEM,2026-08-19,2026-08-19
ME,Maine,349406,586336,935742,1,68238,101289,169527,1,417644,687625,1105269,38,62,REP,DEM,2026-08-27,2026-08-27
MI,Michigan,1199831,2207411,3407242,1,61658,215978,277636,4,1261489,2423389,3684878,34,66,REP,DEM,2026-08-20,2026-08-20
NH,New Hampshire,217294,557389,774683,1,58692,84548,143240,2,275986,641937,917923,30,70,REP,DEM,2026-08-27,2026-08-27
NJ,New Jersey,0,0,0,0,48663,21194,69857,1,48663,21194,69857,70,30,REP,DEM,2026-08-21,2026-08-21
NY,New York,0,0,0,0,47734,15209,62943,1,47734,15209,62943,76,24,REP,DEM,2026-08-21,2026-08-21
OH,Ohio,1321222,2440174,3761396,1,67516,17033,84549,5,1388738,2457207,3845945,36,64,REP,DEM,2026-08-27,2026-08-27
PA,Pennsylvania,0,0,0,0,241415,194421,435836,3,241415,194421,435836,55,45,REP,DEM,2026-08-21,2026-08-21
TX,Texas,540494,5796373,6336867,1,177121,378247,555368,5,717615,6174620,6892235,10,90,REP,DEM,2026-08-20,2026-08-20
VA,Virginia,0,0,0,0,69438,164860,234298,1,69438,164860,234298,30,70,REP,DEM,2026-08-20,2026-08-20
WA,Washington,0,0,0,0,177984,0,177984,1,177984,0,177984,100,0,REP,,2026-09-03,2026-09-03
WI,Wisconsin,0,0,0,0,49364,52737,102101,1,49364,52737,102101,48,52,REP,DEM,2026-08-27,2026-08-27
