race_id,cycle,race_name,office,state,district,support_candidate_id,support_candidate_name,oppose_candidate_id,oppose_candidate_name,support_party,oppose_party,support_amount,oppose_amount,total_amount,expenditure_count,last_spend_date,seat
2026-S-TX,2026,TX Senate (2026),S,TX,00,S6TX00388,Ken Paxton,S6TX00479,James Talarico,REP,DEM,540494.38,5796373.28,6336867.66,25,2026-10-08,senate
2026-S-OH,2026,OH Senate (2026),S,OH,00,S6OH00304,Jon Husted,S6OH00163,Sherrod Brown,REP,DEM,1321221.57,2440173.90,3761395.47,43,2026-09-29,senate
2026-S-MI,2026,MI Senate (2026),S,MI,00,S4MI00595,Mike Rogers,S6MI00418,Abdul El-Sayed,REP,DEM,1199830.58,2207410.62,3407241.20,42,2026-09-28,senate
2026-S-IA,2026,IA Senate (2026),S,IA,00,S6IA00314,Ashley Hinson,S6IA00298,Josh Turek,REP,DEM,100969.36,941344.35,1042313.71,18,2026-09-28,senate
2026-S-ME,2026,ME Senate (2026),S,ME,00,S6ME00159,Susan M. Collins,S6ME00464,Troy Jackson,REP,DEM,349406.46,586336.00,935742.46,28,2026-10-15,senate
2026-S-NH,2026,NH Senate (2026),S,NH,00,S6NH00208,John Sununu,S6NH00141,Chris Pappas,REP,DEM,217293.59,557388.67,774682.26,28,2026-10-16,senate
2026-S-AK,2026,AK Senate (2026),S,AK,00,S4AK00214,Dan Sullivan,S6AK00276,Mary Peltola,REP,DEM,185974.87,335750.81,521725.68,23,2026-10-05,senate
2026-H-VA-02,2026,VA-02 (2026),H,VA,02,H2VA02064,Jennifer A. Kiggans,H6VA02198,Elaine G. Luria,REP,DEM,69437.56,164860.18,234297.74,13,2026-10-02,district 2
2026-H-AZ-01,2026,AZ-01 (2026),H,AZ,01,H6AZ05190,Jay Feely,,,REP,,205736.11,0.00,205736.11,5,2026-09-25,district 1
2026-H-AZ-06,2026,AZ-06 (2026),H,AZ,06,H2AZ02360,Juan Ciscomani,,,REP,,199785.80,0.00,199785.80,5,2026-09-25,district 6
2026-H-WA-03,2026,WA-03 (2026),H,WA,03,H6WA03275,John Braun,,,REP,,177983.62,0.00,177983.62,5,2026-09-28,district 3
2026-H-ME-02,2026,ME-02 (2026),H,ME,02,H6ME02148,Paul LePage,H6ME02171,Matt Dunlap,REP,DEM,68238.41,101289.40,169527.81,12,2026-10-16,district 2
2026-H-TX-35,2026,TX-35 (2026),H,TX,35,H6TX35087,Carlos De La Cruz,H6TX35095,Johnny Garcia,REP,DEM,36739.57,122033.78,158773.35,8,2026-10-05,district 35
2026-H-PA-08,2026,PA-08 (2026),H,PA,08,H4PA08124,"Robert P. Bresnahan, Jr.",H6PA08293,Paige Cognetti,REP,DEM,83851.55,68007.85,151859.40,8,2026-09-24,district 8
2026-H-PA-10,2026,PA-10 (2026),H,PA,10,H2PA04135,Scott Perry,H4PA10104,Janelle Stelson,REP,DEM,79564.78,64259.45,143824.23,8,2026-09-24,district 10
2026-H-PA-07,2026,PA-07 (2026),H,PA,07,H8PA15195,Ryan Mackenzie,H6PA07188,Bob Brooks,REP,DEM,77999.05,62153.22,140152.27,8,2026-09-24,district 7
2026-H-NH-01,2026,NH-01 (2026),H,NH,01,H6NH01420,Anthony DiLorenzo,H6NH01321,Stefany Shaheen,REP,DEM,50675.68,84548.00,135223.68,6,2026-10-16,district 1
2026-H-CA-22,2026,CA-22 (2026),H,CA,22,H2CA20094,David G. Valadao,,,REP,,125212.99,0.00,125212.99,5,2026-09-24,district 22
2026-H-CO-08,2026,CO-08 (2026),H,CO,08,H4CO08034,Gabe Evans,,,REP,,124266.04,0.00,124266.04,5,2026-09-28,district 8
2026-H-MI-04,2026,MI-04 (2026),H,MI,04,H0MI02094,Bill Huizenga,H6MI04204,Sean McCann,REP,DEM,14197.58,104911.77,119109.35,10,2026-09-27,district 4
2026-H-TX-28,2026,TX-28 (2026),H,TX,28,H6TX28124,Tano Tijerina,H2TX23082,Henry Cuellar,REP,DEM,39967.57,76680.39,116647.96,8,2026-10-05,district 28
2026-H-TX-23,2026,TX-23 (2026),H,TX,23,H4TX23120,Brandon Herrera,H6TX23273,Katy Padilla Stout,REP,DEM,43580.66,70926.54,114507.20,7,2026-10-05,district 23
2026-H-FL-25,2026,FL-25 (2026),H,FL,25,H6FL23188,Scott Singer,H2FL22171,Jared Moskowitz,REP,DEM,32270.40,82199.64,114470.04,15,2026-09-27,district 25
2026-H-WI-03,2026,WI-03 (2026),H,WI,03,H0WI03175,Derrick Van Orden,H4WI03169,Rebecca Cooke,REP,DEM,49364.10,52736.76,102100.86,8,2026-09-25,district 3
2026-H-TX-15,2026,TX-15 (2026),H,TX,15,H0TX15124,Monica De La Cruz,H6TX15246,Bobby Pulido,REP,DEM,29637.93,56665.05,86302.98,7,2026-10-05,district 15
2026-H-TX-34,2026,TX-34 (2026),H,TX,34,H6TX34080,Eric Flores,H6TX15162,Vicente Gonzalez,REP,DEM,27195.44,51940.96,79136.40,7,2026-10-05,district 34
2025-H-FL-06,2026,FL-06 (2025),H,FL,06,H6FL06258,Randy Fine,,,REP,,76889.08,0.00,76889.08,2,2025-03-27,district 6
2026-H-NJ-07,2026,NJ-07 (2026),H,NJ,07,H0NJ07261,"Thomas H. Kean, Jr.",H6NJ07201,Rebecca Bennett,REP,DEM,48662.68,21193.81,69856.49,6,2026-09-24,district 7
2026-H-MI-07,2026,MI-07 (2026),H,MI,07,H2MI07123,Tom Barrett,H6MI07298,William Lawrence,REP,DEM,18180.40,50021.47,68201.87,9,2026-09-27,district 7
2026-H-NY-17,2026,NY-17 (2026),H,NY,17,H2NY17162,Michael Lawler,H6NY17171,Cait Conley,REP,DEM,47734.03,15209.28,62943.31,6,2026-09-25,district 17
2026-H-MI-10,2026,MI-10 (2026),H,MI,10,H6MI10359,Michael Bouchard,H6MI10276,Christina Hines,REP,DEM,11685.84,36881.63,48567.47,9,2026-09-27,district 10
2026-H-MI-08,2026,MI-08 (2026),H,MI,08,H6MI08312,Tom Smith,H4MI08218,Kristen McDonald Rivet,REP,DEM,17594.58,24163.06,41757.64,8,2026-09-26,district 8
2026-H-IA-01,2026,IA-01 (2026),H,IA,01,H8IA02043,Mariannette Miller-Meeks,H2IA02111,Christina Bohannan,REP,DEM,15923.05,10767.34,26690.39,3,2026-09-28,district 1
2026-H-IA-03,2026,IA-03 (2026),H,IA,03,H2IA03119,Zachary Nunn,H6IA03268,Sarah Trone Garriott,REP,DEM,16676.07,7884.49,24560.56,3,2026-09-28,district 3
2026-H-IA-02,2026,IA-02 (2026),H,IA,02,H6IA02237,Joe Mitchell,H6IA02211,Lindsay James,REP,DEM,14792.70,9551.51,24344.21,3,2026-09-28,district 2
2026-H-OH-05,2026,OH-05 (2026),H,OH,05,H8OH05036,Robert E. Latta,H6OH05154,Brian Shaver,REP,DEM,14111.82,4050.48,18162.30,4,2026-09-24,district 5
2026-H-OH-01,2026,OH-01 (2026),H,OH,01,H6OH01138,Eric Conroy,H2OH01194,Greg Landsman,REP,DEM,14674.72,3171.08,17845.80,4,2026-09-24,district 1
2026-H-OH-09,2026,OH-09 (2026),H,OH,09,H4OH09169,Derek Merrin,H2OH09031,Marcy Kaptur,REP,DEM,13218.55,3091.17,16309.72,4,2026-09-24,district 9
2026-H-OH-13,2026,OH-13 (2026),H,OH,13,H6OH13307,Carey Coleman,H2OH13264,Emilia Strong Sykes,REP,DEM,12964.72,3280.12,16244.84,4,2026-09-24,district 13
2026-H-OH-07,2026,OH-07 (2026),H,OH,07,H2OH16051,Max L. Miller,H6OH07168,Brian Poindexter,REP,DEM,12546.30,3439.81,15986.11,3,2026-09-24,district 7
2025-H-FL-01,2026,FL-01 (2025),H,FL,01,H6FL01390,Jimmy Patronis,,,REP,,10244.45,0.00,10244.45,1,2025-03-25,district 1
2026-H-NH-02,2026,NH-02 (2026),H,NH,02,H2NH02260,Lily Tang Williams,,,REP,,8016.23,0.00,8016.23,1,2026-09-08,district 2
