spend_date,race_id,race_name,candidate_name,support_oppose,amount,payee_name,purpose,pdf_url
2026-09-11,2026-H-FL-25,FL-25 (2026),Jared Moskowitz,oppose,1012.50,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179073
2026-09-11,2026-H-FL-25,FL-25 (2026),Scott Singer,support,1012.50,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179073
2026-09-11,2026-S-MI,MI Senate (2026),Abdul El-Sayed,oppose,295.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179071
2026-09-11,2026-S-MI,MI Senate (2026),Mike Rogers,support,295.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179071
2026-09-10,2026-S-MI,MI Senate (2026),Abdul El-Sayed,oppose,19301.58,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179075
2026-09-10,2026-S-MI,MI Senate (2026),Mike Rogers,support,19301.59,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179075
2026-09-10,2026-H-ME-02,ME-02 (2026),Matt Dunlap,oppose,590.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179074
2026-09-10,2026-H-ME-02,ME-02 (2026),Paul LePage,support,590.00,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179074
2026-09-10,2026-H-FL-25,FL-25 (2026),Jared Moskowitz,oppose,2720.54,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179072
2026-09-10,2026-H-FL-25,FL-25 (2026),Scott Singer,support,2720.55,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179072
2026-09-10,2026-H-ME-02,ME-02 (2026),Matt Dunlap,oppose,2224.97,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179070
2026-09-10,2026-H-ME-02,ME-02 (2026),Paul LePage,support,2224.97,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179070
2026-09-10,2026-H-MI-10,MI-10 (2026),Christina Hines,oppose,3538.29,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179069
2026-09-10,2026-H-MI-10,MI-10 (2026),Michael Bouchard,support,3538.29,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179069
2026-09-10,2026-H-MI-07,MI-07 (2026),William Lawrence,oppose,5875.07,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179068
2026-09-10,2026-H-MI-07,MI-07 (2026),Tom Barrett,support,5875.08,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179068
2026-09-10,2026-H-MI-04,MI-04 (2026),Sean McCann,oppose,5448.63,IMGE LLC,TEXTING SERVICE,https://docquery.fec.gov/cgi-bin/fecimg/?202609099904179067
